Date,Year,Ticker,Sector,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Adjusted Return
2016-03-28,2016,AAPL,Technology,26.5,26.547501,26.264999,26.297501,77645600,0.0,0.0,,
2016-03-29,2016,AAPL,Technology,26.2225,26.9475,26.219999,26.92,124760400,0.0,0.0,0.023671,0.023671
2016-03-30,2016,AAPL,Technology,27.1625,27.605,27.15,27.389999,182404400,0.0,0.0,0.017459,0.017459
2016-03-31,2016,AAPL,Technology,27.43,27.475,27.219999,27.247499,103553600,0.0,0.0,-0.005203,-0.005203
2016-04-01,2016,AAPL,Technology,27.195,27.5,27.049999,27.497499,103496000,0.0,0.0,0.009175,0.009175
2016-04-04,2016,AAPL,Technology,27.605,28.047501,27.567499,27.780001,149424800,0.0,0.0,0.010274,0.010274
2016-04-05,2016,AAPL,Technology,27.377501,27.682501,27.355,27.452499,106314800,0.0,0.0,-0.011789,-0.011789
2016-04-06,2016,AAPL,Technology,27.557501,27.745001,27.299999,27.74,105616400,0.0,0.0,0.010473,0.010473
2016-04-07,2016,AAPL,Technology,27.487499,27.605,27.030001,27.135,127207600,0.0,0.0,-0.02181,-0.02181
2016-04-08,2016,AAPL,Technology,27.227501,27.442499,27.0425,27.165001,94326800,0.0,0.0,0.001106,0.001106
2016-04-11,2016,AAPL,Technology,27.2425,27.6525,27.2075,27.254999,117630000,0.0,0.0,0.003313,0.003313
2016-04-12,2016,AAPL,Technology,27.334999,27.625,27.165001,27.610001,108929200,0.0,0.0,0.013025,0.013025
2016-04-13,2016,AAPL,Technology,27.700001,28.084999,27.700001,28.01,133029200,0.0,0.0,0.014487,0.014487
2016-04-14,2016,AAPL,Technology,27.905001,28.0975,27.8325,28.025,101895600,0.0,0.0,0.000536,0.000536
2016-04-15,2016,AAPL,Technology,28.0275,28.075001,27.432501,27.4625,187756000,0.0,0.0,-0.020071,-0.020071
2016-04-18,2016,AAPL,Technology,27.2225,27.237499,26.735001,26.870001,243286000,0.0,0.0,-0.021575,-0.021575
2016-04-19,2016,AAPL,Technology,26.969999,27.0,26.557501,26.727501,129539600,0.0,0.0,-0.005303,-0.005303
2016-04-20,2016,AAPL,Technology,26.66,27.022499,26.514999,26.782499,122444000,0.0,0.0,0.002058,0.002058
2016-04-21,2016,AAPL,Technology,26.7325,26.7325,26.379999,26.4925,126210000,0.0,0.0,-0.010828,-0.010828
2016-04-22,2016,AAPL,Technology,26.252501,26.620001,26.155001,26.42,134732400,0.0,0.0,-0.002737,-0.002737
2016-04-25,2016,AAPL,Technology,26.25,26.4125,26.127501,26.27,112126400,0.0,0.0,-0.005678,-0.005678
2016-04-26,2016,AAPL,Technology,25.977501,26.325001,25.977501,26.0875,224064800,0.0,0.0,-0.006947,-0.006947
2016-04-27,2016,AAPL,Technology,24.0,24.6775,23.92,24.455,458408400,0.0,0.0,-0.062578,-0.062578
2016-04-28,2016,AAPL,Technology,24.4025,24.469999,23.5625,23.7075,328970800,0.0,0.0,-0.030566,-0.030566
2016-04-29,2016,AAPL,Technology,23.497499,23.68,23.127501,23.434999,274126000,0.0,0.0,-0.011494,-0.011494
2016-05-02,2016,AAPL,Technology,23.4925,23.52,23.1,23.41,192640400,0.0,0.0,-0.001067,-0.001067
2016-05-03,2016,AAPL,Technology,23.549999,23.934999,23.42,23.795,227325200,0.0,0.0,0.016446,0.016446
2016-05-04,2016,AAPL,Technology,23.799999,23.975,23.455,23.547501,164102000,0.0,0.0,-0.010401,-0.010401
2016-05-05,2016,AAPL,Technology,23.5,23.5175,23.17,23.309999,143562000,0.1425,0.0,-0.010086,-0.004034
2016-05-06,2016,AAPL,Technology,23.342501,23.362499,22.9625,23.18,174799600,0.0,0.0,-0.005577,-0.005577
2016-05-09,2016,AAPL,Technology,23.25,23.442499,23.147499,23.1975,131745600,0.0,0.0,0.000755,0.000755
2016-05-10,2016,AAPL,Technology,23.3325,23.3925,23.0275,23.355,134747200,0.0,0.0,0.006789,0.006789
2016-05-11,2016,AAPL,Technology,23.370001,23.3925,23.115,23.127501,114876400,0.0,0.0,-0.009741,-0.009741
2016-05-12,2016,AAPL,Technology,23.18,23.195,22.3675,22.584999,305258800,0.0,0.0,-0.023457,-0.023457
2016-05-13,2016,AAPL,Technology,22.5,22.9175,22.5,22.629999,177571200,0.0,0.0,0.001992,0.001992
2016-05-16,2016,AAPL,Technology,23.0975,23.5975,22.9125,23.469999,245039200,0.0,0.0,0.037119,0.037119
2016-05-17,2016,AAPL,Technology,23.637501,23.674999,23.252501,23.372499,187667600,0.0,0.0,-0.004154,-0.004154
2016-05-18,2016,AAPL,Technology,23.540001,23.8025,23.4725,23.639999,168249600,0.0,0.0,0.011445,0.011445
2016-05-19,2016,AAPL,Technology,23.66,23.66,23.3925,23.549999,121768400,0.0,0.0,-0.003807,-0.003807
2016-05-20,2016,AAPL,Technology,23.66,23.8575,23.629999,23.805,128104000,0.0,0.0,0.010828,0.010828
2016-05-23,2016,AAPL,Technology,23.967501,24.297501,23.9175,24.1075,152074400,0.0,0.0,0.012707,0.012707
2016-05-24,2016,AAPL,Technology,24.305,24.522499,24.209999,24.475,140560800,0.0,0.0,0.015244,0.015244
2016-05-25,2016,AAPL,Technology,24.6675,24.934999,24.5275,24.905001,152675200,0.0,0.0,0.017569,0.017569
2016-05-26,2016,AAPL,Technology,24.92,25.182501,24.66,25.102501,225324800,0.0,0.0,0.00793,0.00793
2016-05-27,2016,AAPL,Technology,24.860001,25.1175,24.8125,25.0875,145364800,0.0,0.0,-0.000598,-0.000598
2016-05-31,2016,AAPL,Technology,24.9,25.1,24.705,24.965,169228800,0.0,0.0,-0.004883,-0.004883
2016-06-01,2016,AAPL,Technology,24.754999,24.885,24.5825,24.615,116693200,0.0,0.0,-0.01402,-0.01402
2016-06-02,2016,AAPL,Technology,24.4,24.459999,24.157499,24.43,160766400,0.0,0.0,-0.007516,-0.007516
2016-06-03,2016,AAPL,Technology,24.4475,24.567499,24.362499,24.48,114019600,0.0,0.0,0.002047,0.002047
2016-06-06,2016,AAPL,Technology,24.497499,25.4725,24.387501,24.657499,93170000,0.0,0.0,0.007251,0.007251
2016-06-07,2016,AAPL,Technology,24.8125,24.967501,24.74,24.7575,89638000,0.0,0.0,0.004056,0.004056
2016-06-08,2016,AAPL,Technology,24.754999,24.889999,24.67,24.735001,83392400,0.0,0.0,-0.000909,-0.000909
2016-06-09,2016,AAPL,Technology,24.625,24.997499,24.615,24.9125,106405600,0.0,0.0,0.007176,0.007176
2016-06-10,2016,AAPL,Technology,24.6325,24.8375,24.620001,24.7075,126851600,0.0,0.0,-0.008229,-0.008229
2016-06-13,2016,AAPL,Technology,24.672501,24.780001,24.275,24.334999,152082000,0.0,0.0,-0.015076,-0.015076
2016-06-14,2016,AAPL,Technology,24.33,24.620001,24.1875,24.365,127727600,0.0,0.0,0.001233,0.001233
2016-06-15,2016,AAPL,Technology,24.455,24.602501,24.2575,24.285,117780800,0.0,0.0,-0.003283,-0.003283
2016-06-16,2016,AAPL,Technology,24.112499,24.4375,24.0175,24.387501,125307200,0.0,0.0,0.004221,0.004221
2016-06-17,2016,AAPL,Technology,24.155001,24.1625,23.825001,23.8325,244032800,0.0,0.0,-0.022758,-0.022758
2016-06-20,2016,AAPL,Technology,24.0,24.1425,23.7575,23.775,137647600,0.0,0.0,-0.002413,-0.002413
2016-06-21,2016,AAPL,Technology,23.735001,24.0875,23.67,23.977501,142185600,0.0,0.0,0.008517,0.008517
