Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2016-03-28 00:00:00-04:00,24.006929229334705,24.04996107050679,23.79403703984186,23.8234806060791,77645600,0.0,0.0,AAPL
2016-03-29 00:00:00-04:00,23.75553984300412,24.41233364788222,23.75327455415751,24.387420654296875,124760400,0.0,0.0,AAPL
2016-03-30 00:00:00-04:00,24.60710744864161,25.007977186036836,24.595782732119893,24.813203811645508,182404400,0.0,0.0,AAPL
2016-03-31 00:00:00-04:00,24.849438336091747,24.890204891270198,24.659193835956014,24.684106826782227,103553600,0.0,0.0,AAPL
2016-04-01 00:00:00-04:00,24.636542366815014,24.912848784343115,24.5051832948904,24.91058349609375,103496000,0.0,0.0,AAPL
2016-04-04 00:00:00-04:00,25.007976058383598,25.408847505611973,24.974003638259468,25.166513442993164,149424800,0.0,0.0,AAPL
2016-04-05 00:00:00-04:00,24.80187463531264,25.078181061580132,24.781490496240938,24.86981773376465,106314800,0.0,0.0,AAPL
2016-04-06 00:00:00-04:00,24.964944036425578,25.134804396192514,24.73166769090215,25.130273818969727,105616400,0.0,0.0,AAPL
2016-04-07 00:00:00-04:00,24.901518384431597,25.007964445030883,24.48706058069473,24.582181930541992,127207600,0.0,0.0,AAPL
2016-04-08 00:00:00-04:00,24.665987485047786,24.8607590890533,24.498390702204215,24.60936737060547,94326800,0.0,0.0,AAPL
2016-04-11 00:00:00-04:00,24.679579721999776,25.051007594143087,24.647872591054057,24.690902709960938,117630000,0.0,0.0,AAPL
2016-04-12 00:00:00-04:00,24.76337089246503,25.02608903663491,24.609365849493436,25.012500762939453,108929200,0.0,0.0,AAPL
2016-04-13 00:00:00-04:00,25.094038793329254,25.44281722473084,25.094038793329254,25.374874114990234,133029200,0.0,0.0,AAPL
2016-04-14 00:00:00-04:00,25.27974670374722,25.454135877913863,25.214067170437854,25.388456344604492,101895600,0.0,0.0,AAPL
2016-04-15 00:00:00-04:00,25.390729791727644,25.43376164101183,24.851706806823568,24.878883361816406,187756000,0.0,0.0,AAPL
2016-04-18 00:00:00-04:00,24.661453816477476,24.675042089309276,24.219817670358456,24.342117309570312,243286000,0.0,0.0,AAPL
2016-04-19 00:00:00-04:00,24.432704860640822,24.45988313061072,24.059013584027593,24.21302032470703,129539600,0.0,0.0,AAPL
2016-04-20 00:00:00-04:00,24.151880567745156,24.480276604110284,24.020521462035465,24.262855529785156,122444000,0.0,0.0,AAPL
2016-04-21 00:00:00-04:00,24.217556463242936,24.217556463242936,23.89821817461431,24.00013542175293,126210000,0.0,0.0,AAPL
2016-04-22 00:00:00-04:00,23.78271816358631,24.115644780298073,23.694390905427163,23.934459686279297,134732400,0.0,0.0,AAPL
2016-04-25 00:00:00-04:00,23.78044987288941,23.927662527208124,23.66947492396375,23.798568725585938,112126400,0.0,0.0,AAPL
2016-04-26 00:00:00-04:00,23.53359330003575,23.848401106506962,23.53359330003575,23.633243560791016,224064800,0.0,0.0,AAPL
2016-04-27 00:00:00-04:00,21.74212537212017,22.35588724558825,21.669651689996126,22.154319763183594,458408400,0.0,0.0,AAPL
2016-04-28 00:00:00-04:00,22.106753806786298,22.16790275955349,21.345779461747554,21.47713851928711,328970800,0.0,0.0,AAPL
2016-04-29 00:00:00-04:00,21.28689239330659,21.452223846216306,20.951702367657898,21.23027229309082,274126000,0.0,0.0,AAPL
2016-05-02 00:00:00-04:00,21.282371038114313,21.30728402921264,20.926796752694237,21.207632064819336,192640400,0.0,0.0,AAPL
2016-05-03 00:00:00-04:00,21.33446011672984,21.683240256607103,21.216691029662577,21.556411743164062,227325200,0.0,0.0,AAPL
2016-05-04 00:00:00-04:00,21.560937376849367,21.719474722918175,21.24839498908705,21.33219337463379,164102000,0.0,0.0,AAPL
2016-05-05 00:00:00-04:00,21.418786754408522,21.43473684522037,21.118012371649755,21.24561309814453,143562000,0.1425,0.0,AAPL
2016-05-06 00:00:00-04:00,21.275227988494596,21.293455415162843,20.92888080536488,21.127119064331055,174799600,0.0,0.0,AAPL
2016-05-09 00:00:00-04:00,21.1909223895964,21.366373347698225,21.097499209131772,21.1430721282959,131745600,0.0,0.0,AAPL
2016-05-10 00:00:00-04:00,21.2661126801886,21.32079843518479,20.988124006445666,21.286619186401367,134747200,0.0,0.0,AAPL
2016-05-11 00:00:00-04:00,21.30029326158782,21.320799769083546,21.067875746062786,21.079269409179688,114876400,0.0,0.0,AAPL
2016-05-12 00:00:00-04:00,21.127122427175387,21.14079343395983,20.38657942691291,20.584815979003906,305258800,0.0,0.0,AAPL
2016-05-13 00:00:00-04:00,20.507345483894703,20.88787025509507,20.507345483894703,20.625831604003906,177571200,0.0,0.0,AAPL
2016-05-16 00:00:00-04:00,21.051927548030122,21.507646298698038,20.88331209704313,21.391437530517578,245039200,0.0,0.0,AAPL
2016-05-17 00:00:00-04:00,21.54410822532073,21.5782857465761,21.193204520187564,21.302576065063477,187667600,0.0,0.0,AAPL
2016-05-18 00:00:00-04:00,21.45524054073366,21.694491852089957,21.39371753322122,21.546382904052734,168249600,0.0,0.0,AAPL
2016-05-19 00:00:00-04:00,21.56461224798511,21.56461224798511,21.32080277341668,21.464353561401367,121768400,0.0,0.0,AAPL
2016-05-20 00:00:00-04:00,21.56460706970189,21.74461615082954,21.537263323991663,21.696765899658203,128104000,0.0,0.0,AAPL
2016-05-23 00:00:00-04:00,21.844881969682415,22.145656317313065,21.799309045235763,21.972482681274414,152074400,0.0,0.0,AAPL
2016-05-24 00:00:00-04:00,22.152491525191518,22.350728093988742,22.065903839115222,22.307435989379883,140560800,0.0,0.0,AAPL
2016-05-25 00:00:00-04:00,22.482884808411256,22.72669427765415,22.35528411076761,22.699352264404297,152675200,0.0,0.0,AAPL
2016-05-26 00:00:00-04:00,22.713023987281645,22.95227704133742,22.476050013878265,22.879362106323242,225324800,0.0,0.0,AAPL
2016-05-27 00:00:00-04:00,22.658340973272143,22.893035894534986,22.6150471277629,22.865692138671875,145364800,0.0,0.0,AAPL
2016-05-31 00:00:00-04:00,22.694793931414328,22.877082131035774,22.51706389291943,22.754037857055664,169228800,0.0,0.0,AAPL
2016-06-01 00:00:00-04:00,22.56263832799744,22.681126196370553,22.405416515036443,22.43503761291504,116693200,0.0,0.0,AAPL
2016-06-02 00:00:00-04:00,22.239076611136976,22.29376237919357,22.01805271977049,22.266420364379883,160766400,0.0,0.0,AAPL
2016-06-03 00:00:00-04:00,22.28236964346596,22.39174117560807,22.2048965479719,22.31199073791504,114019600,0.0,0.0,AAPL
2016-06-06 00:00:00-04:00,22.327940276709967,23.21659221106314,22.227683331115195,22.473770141601562,93170000,0.0,0.0,AAPL
2016-06-07 00:00:00-04:00,22.615044046406567,22.756317491473023,22.54896461589625,22.56491470336914,89638000,0.0,0.0,AAPL
2016-06-08 00:00:00-04:00,22.562636228369513,22.685680508647046,22.485164869544324,22.544408798217773,83392400,0.0,0.0,AAPL
2016-06-09 00:00:00-04:00,22.444145789190607,22.783655731119804,22.4350312066546,22.70618438720703,106405600,0.0,0.0,AAPL
2016-06-10 00:00:00-04:00,22.450980111575035,22.63782469767143,22.439588187825375,22.519338607788086,126851600,0.0,0.0,AAPL
2016-06-13 00:00:00-04:00,22.487442095687204,22.58542169569288,22.125144788343775,22.17983055114746,152082000,0.0,0.0,AAPL
2016-06-14 00:00:00-04:00,22.175277937194636,22.43959568992894,22.045398141710876,22.207178115844727,127727600,0.0,0.0,AAPL
2016-06-15 00:00:00-04:00,22.289204626553907,22.423642565608542,22.109195506575492,22.134260177612305,117780800,0.0,0.0,AAPL
2016-06-16 00:00:00-04:00,21.977035417316305,22.273253292019113,21.890449483038555,22.22768211364746,125307200,0.0,0.0,AAPL
2016-06-17 00:00:00-04:00,22.015776845285174,22.02261234944432,21.715002493277378,21.721837997436523,244032800,0.0,0.0,AAPL
2016-06-20 00:00:00-04:00,21.874499747171008,22.004379519882672,21.653475877826985,21.66942596435547,137647600,0.0,0.0,AAPL
2016-06-21 00:00:00-04:00,21.63297048872019,21.954251316406683,21.573726562077685,21.853994369506836,142185600,0.0,0.0,AAPL
2016-06-22 00:00:00-04:00,21.931465901677825,22.077295769638027,21.726392106599683,21.77196502685547,116876400,0.0,0.0,AAPL
